location,year,month,tmax,tmin,tmean
Archerfield,2010,1,31.31,20.74,26.02
Archerfield,2010,2,29.91,20.94,25.42
Archerfield,2010,3,27.91,19.17,23.54
Archerfield,2010,4,27.18,16.26,21.72
Archerfield,2010,5,23.49,11.81,17.65
Archerfield,2010,6,21.19,9.27,15.23
Archerfield,2010,7,21.4,9.62,15.51
Archerfield,2010,8,21.75,8.97,15.36
Archerfield,2010,9,24.58,14.26,19.42
Archerfield,2010,10,24.57,14.87,19.72
Archerfield,2010,11,26.43,17.46,21.94
Archerfield,2010,12,27.54,19.78,23.66
Archerfield,2011,1,29.35,20.46,24.9
Archerfield,2011,2,30.27,20.64,25.46
Archerfield,2011,3,28.71,19.33,24.02
Archerfield,2011,4,25.93,15.68,20.8
Archerfield,2011,5,22.78,10.83,16.81
Archerfield,2011,6,20.42,8.48,14.45
Archerfield,2011,7,21.11,7.24,14.17
Archerfield,2011,8,22.62,9.0,15.81
Archerfield,2011,9,25.25,10.3,17.78
Archerfield,2011,10,25.74,14.28,20.01
Archerfield,2011,11,29.59,18.74,24.16
Archerfield,2011,12,27.62,17.51,22.56
Archerfield,2012,1,29.14,19.66,24.4
Archerfield,2012,2,30.16,19.99,25.07
Archerfield,2012,3,28.42,18.41,23.41
Archerfield,2012,4,26.73,15.45,21.09
Archerfield,2012,5,24.21,10.14,17.18
Archerfield,2012,6,20.94,10.27,15.6
Archerfield,2012,7,21.35,9.0,15.17
Archerfield,2012,8,23.63,6.75,15.19
Archerfield,2012,9,26.3,11.52,18.91
Archerfield,2012,10,28.13,13.57,20.85
Archerfield,2012,11,29.03,17.47,23.25
Archerfield,2012,12,30.85,19.79,25.32
Archerfield,2013,1,31.36,21.7,26.53
Archerfield,2013,2,28.64,19.67,24.16
Archerfield,2013,3,28.59,18.88,23.74
Archerfield,2013,4,26.86,14.79,20.82
Archerfield,2013,5,23.35,11.39,17.37
Archerfield,2013,6,20.94,10.41,15.68
Archerfield,2013,7,21.75,10.27,16.01
Archerfield,2013,8,24.95,8.36,16.65
Archerfield,2013,9,27.94,12.84,20.39
Archerfield,2013,10,29.73,15.16,22.44
Archerfield,2013,11,29.39,17.0,23.19
Archerfield,2013,12,30.09,18.25,24.17
Archerfield,2014,1,31.56,20.64,26.1
Archerfield,2014,2,30.55,20.18,25.36
Archerfield,2014,3,29.78,18.83,24.3
Archerfield,2014,4,28.16,16.02,22.09
Archerfield,2014,5,25.06,12.58,18.82
Archerfield,2014,6,23.3,10.26,16.78
Archerfield,2014,7,22.35,5.71,14.03
Archerfield,2014,8,22.88,9.19,16.04
Archerfield,2014,9,25.7,10.84,18.27
Archerfield,2014,10,28.41,14.76,21.59
Archerfield,2014,11,30.65,19.83,25.24
Archerfield,2014,12,30.39,20.37,25.38
Archerfield,2015,1,30.92,21.78,26.35
Archerfield,2015,2,29.69,20.1,24.9
Archerfield,2015,3,30.61,20.21,25.41
Archerfield,2015,4,26.32,15.62,20.97
Archerfield,2015,5,24.38,12.12,18.25
Archerfield,2015,6,21.58,10.53,16.05
Archerfield,2015,7,21.08,7.87,14.48
Archerfield,2015,8,24.14,9.44,16.79
Archerfield,2015,9,25.26,10.43,17.84
Archerfield,2015,10,27.81,14.83,21.32
Archerfield,2015,11,29.91,18.79,24.35
Archerfield,2015,12,29.72,18.72,24.22
Archerfield,2016,1,30.71,19.71,25.21
Archerfield,2016,2,32.26,20.86,26.56
Archerfield,2016,3,30.21,19.57,24.89
Archerfield,2016,4,29.27,16.52,22.89
Archerfield,2016,5,27.16,12.82,19.99
